"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 15:58:48 SAST 2024","Thu Feb 08 15:58:49 SAST 2024","1094","chromium","home.spec.ts","Home","","","Navigate to the Online Courses page and verify title",""
"passed","Thu Feb 08 16:00:15 SAST 2024","Thu Feb 08 16:00:18 SAST 2024","2728","chromium","socialmedia.spec.ts","SocialMedia","","","Go to Bushwise LinkedIn page and verify URL",""
"passed","Thu Feb 08 15:59:26 SAST 2024","Thu Feb 08 15:59:31 SAST 2024","5251","chromium","resources.spec.ts","Resources","","","Navigate to Refer A Friend page and verify title",""
"passed","Thu Feb 08 15:53:44 SAST 2024","Thu Feb 08 15:53:49 SAST 2024","4997","chromium","careers.spec.ts","Careers","","","Navigate to the Wildlife Jobs page and verify title",""
"passed","Thu Feb 08 15:51:55 SAST 2024","Thu Feb 08 15:52:00 SAST 2024","5237","chromium","about.spec.ts","About","","","Navigate to Our Story page and verify title",""
"passed","Thu Feb 08 15:59:52 SAST 2024","Thu Feb 08 15:59:57 SAST 2024","5144","chromium","resources.spec.ts","Resources","","","Navigate to CATHSSETA Accreditation page and verify title",""
"passed","Thu Feb 08 15:59:19 SAST 2024","Thu Feb 08 15:59:20 SAST 2024","607","chromium","placements.spec.ts","Placements","","","Verify Moholoholo Rehab Centre sub-heading",""
"failed","Thu Feb 08 15:55:21 SAST 2024","Thu Feb 08 15:55:35 SAST 2024","14119","chromium","conversationWithGVI.spec.ts","Conversation with GVI","","","Navigate to Big Cat Conservation Internship in SA page and verify title",""
"passed","Thu Feb 08 15:57:54 SAST 2024","Thu Feb 08 15:57:58 SAST 2024","4166","chromium","courses.spec.ts","Courses","","","Navigate to the Professional Field Guide Course page and verify title",""
"passed","Thu Feb 08 15:58:42 SAST 2024","Thu Feb 08 15:58:46 SAST 2024","3401","chromium","footer.spec.ts","Footer","","","Navigate to Download a Brochure page via the footer link and verify title",""
"passed","Thu Feb 08 15:53:03 SAST 2024","Thu Feb 08 15:53:07 SAST 2024","4136","chromium","about.spec.ts","About","","","Navigate to Our Partners page and verify title",""
"passed","Thu Feb 08 16:00:02 SAST 2024","Thu Feb 08 16:00:07 SAST 2024","5211","chromium","resources.spec.ts","Resources","","","Navigate to Bushwise Media page and verify title",""
"passed","Thu Feb 08 15:58:34 SAST 2024","Thu Feb 08 15:58:38 SAST 2024","4211","chromium","footer.spec.ts","Footer","","","Navigate to Website Terms of Use page and verify title",""
"passed","Thu Feb 08 15:52:16 SAST 2024","Thu Feb 08 15:52:21 SAST 2024","5134","chromium","about.spec.ts","About","","","Navigate to Events page and verify title",""
"passed","Thu Feb 08 15:59:42 SAST 2024","Thu Feb 08 15:59:46 SAST 2024","4614","chromium","resources.spec.ts","Resources","","","Navigate to Financial Aid page and verify title",""
"skipped","Thu Feb 08 15:58:51 SAST 2024","Thu Feb 08 15:58:51 SAST 2024","0","chromium","home.spec.ts","Home","","","Navigate to the Webinar page and verify title",""
"passed","Thu Feb 08 15:53:16 SAST 2024","Thu Feb 08 15:53:25 SAST 2024","9234","chromium","campusOpenDay.spec.ts","CampusOpenDay","","","Fill contact form and verify success message",""
"passed","Thu Feb 08 16:00:14 SAST 2024","Thu Feb 08 16:00:15 SAST 2024","1929","chromium","socialmedia.spec.ts","SocialMedia","","","Go to Bushwise Facebook page and verify URL",""
"passed","Thu Feb 08 15:58:13 SAST 2024","Thu Feb 08 15:58:14 SAST 2024","499","chromium","employmentGuarantee.spec.ts","Employment Guarantee","","","Verify Our unique offer heading",""
"passed","Thu Feb 08 15:57:48 SAST 2024","Thu Feb 08 15:57:50 SAST 2024","2287","chromium","conversationWithGVI.spec.ts","Conversation with GVI","","","Navigate to Volunteer in Limpopo page and verify title",""
"passed","Thu Feb 08 15:59:22 SAST 2024","Thu Feb 08 15:59:23 SAST 2024","615","chromium","placements.spec.ts","Placements","","","Verify Makalali Reserve sub-heading",""
"passed","Thu Feb 08 15:58:38 SAST 2024","Thu Feb 08 15:58:42 SAST 2024","4169","chromium","footer.spec.ts","Footer","","","Navigate to Terms of Service page and verify title",""
"passed","Thu Feb 08 15:58:53 SAST 2024","Thu Feb 08 15:58:57 SAST 2024","3510","chromium","onlineCourses.spec.ts","OnlineCourses","","","Navigate to the Online Courses page and verify title",""
"passed","Thu Feb 08 15:58:25 SAST 2024","Thu Feb 08 15:58:29 SAST 2024","3573","chromium","experiences.spec.ts","Experiences","","","Navigate to the Conservation with GVI page and verify title",""
"passed","Thu Feb 08 15:53:39 SAST 2024","Thu Feb 08 15:53:44 SAST 2024","5049","chromium","careers.spec.ts","Careers","","","Navigate to the Bushwise Alumni Stories page and verify title",""
"passed","Thu Feb 08 15:52:11 SAST 2024","Thu Feb 08 15:52:16 SAST 2024","5074","chromium","about.spec.ts","About","","","Navigate to Why Bushwise page and verify title",""
"passed","Thu Feb 08 15:59:19 SAST 2024","Thu Feb 08 15:59:19 SAST 2024","665","chromium","placements.spec.ts","Placements","","","Verify Harnas Wildlife Foundation sub-heading",""
"passed","Thu Feb 08 15:59:11 SAST 2024","Thu Feb 08 15:59:11 SAST 2024","700","chromium","placements.spec.ts","Placements","","","Verify Placement locations heading",""
"passed","Thu Feb 08 15:59:20 SAST 2024","Thu Feb 08 15:59:21 SAST 2024","553","chromium","placements.spec.ts","Placements","","","Verify K9 conservation sub-heading",""
"passed","Thu Feb 08 15:58:49 SAST 2024","Thu Feb 08 15:58:50 SAST 2024","1094","chromium","home.spec.ts","Home","","","Navigate to the Conservation with GVI page and verify title",""
"passed","Thu Feb 08 15:59:10 SAST 2024","Thu Feb 08 15:59:11 SAST 2024","628","chromium","placements.spec.ts","Placements","","","Verify Prestigious lodges and Reserves heading",""
"passed","Thu Feb 08 15:53:34 SAST 2024","Thu Feb 08 15:53:39 SAST 2024","4930","chromium","careers.spec.ts","Careers","","","Navigate to the Bushwise Recruitment page and verify title",""
"passed","Thu Feb 08 15:52:53 SAST 2024","Thu Feb 08 15:52:58 SAST 2024","5348","chromium","about.spec.ts","About","","","Navigate to Articles page and verify title",""
"passed","Thu Feb 08 15:58:02 SAST 2024","Thu Feb 08 15:58:09 SAST 2024","7061","chromium","download.spec.ts","Download","","","Fill contact form and verify success message",""
"passed","Thu Feb 08 15:53:07 SAST 2024","Thu Feb 08 15:53:16 SAST 2024","9358","chromium","apply.spec.ts","Apply","","","Fill contact form and verify success message",""
